Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
O43708	GSTZ1	Maleylacetoacetate isomerase	9.71E-41	1647724.125	1453472	2244418.75	1660350.125	1695391.25	1487712.5	1899497.5	2245605.75	1878675.5	1623080	1663562.25	1778181.625	1421355.625	1785152.25	1958218.5	1619760.125	2530874	2133748
O43709	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	5.91E-35	4133135.5	5121523.5	4700051.5	5261648.5	4989993	4991092.5	5130030.5	5922634.5	4957984	5019590.5	4957041.5	4972606.5	5356300	4220908.5	4863469	4536834	4481462.5	5562165
O43711	TLX3	T-cell leukemia homeobox protein 3	1.07E-14	85785.63281	72684.42188	55413.73828	146906.3438	47666.70703	49164.57422	88347.28906	56748.65625	91535.60938	126569.75	94918.5	21580.64648	85875.60156	146037.4688	61351.3125	95782.38281	264716	136657.1875
O43715	TRIAP1	TP53-regulated inhibitor of apoptosis 1	3.73E-28	954274.5	939177.375	925613.4375	976521.6875	882743.125	1199379.25	812260	1049577.25	822252	812818.8125	950993.625	888643.5	830200.8125	942676.6875	937168.3125	891651.75	672770.5625	841253.4375
O43716	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	1.18E-34	897016.3125	855086.0625	801071.0625	854345.3125	874533.375	1502400	940907.5	657510.75	892088.5625	913160.0625	792971.4375	898026.6875	915414.8125	1103245.875	821554.9375	834108.75	442284.0313	761155.6875
O43719	HTATSF1	HIV Tat-specific factor 1	2.07E-40	10712616	10223711	10735261	10045963	10174862	9981447	10838512	10304999	9940832	10477843	10651259	10219827	9512366	10706011	10004766	10406623	11581038	10591976
O43731	KDELR3	ER lumen protein-retaining receptor 3	1.87E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.37192917	13373.24316	NaN	NaN	NaN	1113.257324	2576.233398	4201.49707	62.63988876	NaN	2643.729492
O43734	TRAF3IP2	E3 ubiquitin ligase TRAF3IP2	4.44E-42	163501.2344	277735.8125	259186.9063	193999.75	164807.3906	179554.1563	219874.0313	159116.7813	144674.8438	243261.9375	176363.8906	285736.375	193098.0156	264234.1563	109264.8359	338086.7813	164816.0938	58412.04688
O43739	CYTH3	Cytohesin-3	3.24E-32	1662380.625	2070853.875	2169588.5	1514042.125	1928577.875	1738815.375	2142051.25	1738946.875	1535652.375	1741107.125	1748154.375	1593389.625	1777575	1958675.75	1878097.125	1930536	1576735.875	1362843.5
O43741	PRKAB2	5'-AMP-activated protein kinase subunit beta-2	0.000949681	NaN	3613520.75	NaN	3748633	NaN	4110549.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3285595
O43747	AP1G1	AP-1 complex subunit gamma-1	2.04E-40	6053198	6279908.5	7700011.5	5928330	5575353	6924828	6832081.5	7182617.5	7584108	6459948.5	5680799.5	7249527	7543653.5	8030929.5	6045116.5	7514870.5	6446044	7352310.5
O43752	STX6	Syntaxin-6	2.83E-35	1971176.125	2217285.5	2419288.25	2130996.5	1987609.625	1942949.25	1995061.75	2048856.875	2143258.25	1992012.75	2204568.75	1939595.375	1925519.5	1785219.875	1877706	2105091.25	2087900	1711180.25
O43760	SYNGR2	Synaptogyrin-2	2.36E-25	6780837.5	7476363	6597992	8655128	8909112	7287065.5	6872075.5	9015763	8251296.5	6256161.5	6478504	8521065	8595209	9429709	7785431	7487761.5	10021478	11082505
O43765	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	2.69E-40	5524255.5	5687046	5188730	5229216	5480048	5526384	4769620	4542405.5	4826313.5	5085890.5	5691844.5	4958754.5	4943794.5	5107611.5	5175172.5	4799620	5121545.5	4531151.5
O43768	ENSA	Alpha-endosulfine	1.71E-37	3090833.75	3001063.5	3489677.5	4291563	4076393.5	4268240.5	4419197	4204268	4010485.5	4198259	4252341.5	4289149	4121831.5	3919888.75	4458895.5	4137184	4817762	4131920.75
O43772	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	1.62E-36	2303409	2362829.25	2642635.25	2687007.5	2673823.75	2193429.25	2407204.75	2352714	2567708.5	2336972.25	1897621.25	2788014	2681308	3300528.75	2655184.5	2693898	2332939.25	2979177.25
O43776	NARS1	Asparagine--tRNA ligase, cytoplasmic	3.35E-40	15211157	14952109	13018436	15538032	14698153	14666914	14670791	15963992	15626693	16904554	15625409	16615321	15891409	15036417	15606368	16360814	16625975	17548550
O43791	SPOP	Speckle-type POZ protein	2.23E-23	5910086.5	4873942.5	6420747	4234998.5	4282170.5	5395547	4111406.75	4922343.5	3013316.25	7365148.5	3364969.5	5034822.5	3574543.75	3099438.75	5054965.5	4839365.5	4704050.5	5682152.5
O43795	MYO1B	Unconventional myosin-Ib	2.81E-45	54523556	55868220	52650724	55697832	52673008	49506632	61233504	53147488	54300412	53349632	50836620	53584040	49486440	57177056	56339116	56997440	57393584	61813684
O43805	SSNA1	Microtubule nucleation factor SSNA1	1.79E-55	2045956.875	2095172.25	2051079.875	2072793.75	1955772.125	2411484.5	2379872	2028640.5	2063109.125	2253045.75	1845667	2309337	2321540.5	1972619.75	2021033.75	2038701	2063090.625	2007235.875
O43808	SLC25A17	Peroxisomal membrane protein PMP34	5.79E-18	NaN	48452.76563	NaN	NaN	205229.3281	101950.6172	83382.72656	344816.25	382331.375	29129.29883	NaN	72692.35938	170296.3438	47108.48047	NaN	98116.53125	72178.83594	172315.8125
O43809	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	5.10E-43	16679786	16318630	15447074	17022516	17818140	17438798	17381298	16799618	16231902	17450646	18501684	17167554	17049122	16712271	17233954	16170527	16999286	16417593
O43813	LANCL1	Glutathione S-transferase LANCL1	1.28E-50	6603014	4885548	5538511.5	4375303	4751908.5	5248425	6066756	4759672	5382882	4775441.5	5099771	5226747.5	5818461.5	5584183.5	5166796	4980993.5	5011383	6346025.5
O43815	STRN	Striatin	2.58E-38	9799868	7816302.5	10755837	9542478	9038315	9634030	9158130	8083392.5	10382310	10378799	9757905	9247620	9173079	8929509	8791575	9128954	9279674	9010971
O43818	RRP9	U3 small nucleolar RNA-interacting protein 2	7.11E-61	13743484	14402844	17939794	15431297	15463236	16106556	14749916	16095553	15412911	14593148	16113206	14313789	14825944	14489776	15152638	12034016	13349308	12233081
O43819	SCO2	Protein SCO2 homolog, mitochondrial	2.91E-36	16122041	15756168	24505168	14908611	17802214	12515663	19114342	20183996	16006958	17683604	16095884	15118023	15810107	11476941	13858076	12337305	14583832	14246949
O43820	HYAL3	Hyaluronidase-3	1.13E-24	NaN	2.536494255	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0.715993464	NaN	NaN	NaN	NaN	NaN	1.158762336
O43822	CFAP410	Cilia- and flagella-associated protein 410	4.88E-08	NaN	NaN	NaN	162975.7344	166421.9688	376297.375	NaN	NaN	NaN	NaN	260646.1719	229673.5625	145581.8438	112702.9844	92580.4375	NaN	NaN	462887.3125
O43823	AKAP8	A-kinase anchor protein 8	5.25E-37	2502878.5	2618680	2695775.5	2261166.25	2525252.5	2438368.5	2607759.75	2399662.75	2410132.25	2445220	2271578.75	2256776.5	2345888.75	2136212	2444902.25	2182019.25	2380938	2036860.375
O43824	GTPBP6	Putative GTP-binding protein 6	7.46E-26	917745.1875	865827.0625	622478.3125	1270549.75	1662538.25	1206797.5	1225864.625	1252929.25	1000265.25	916661.3125	790739.4375	1203822	1120126.75	1074088.5	1139181.75	1135553.125	1412366.625	801092.375
O43826	SLC37A4	Glucose-6-phosphate exchanger SLC37A4	1.12E-24	1140256.5	1414690.25	1256164.375	994147.0625	904099.4375	2953248.25	1220676.625	NaN	768864.4375	1192017.25	1607910.875	1516766.5	1583072	4313367.5	1039430.688	1301960.875	1288287.25	4545633.5
O43829	ZBTB14	Zinc finger and BTB domain-containing protein 14	1.21E-25	325055.1875	258948.25	286731.4688	205640.75	258096.6406	157087.4219	282977.1875	315919.1875	321989.4375	287322.75	209101.6719	252795.2344	157728.5781	267035.3125	267417.5625	153329.1406	193591.0938	294985.1875
O43837	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	2.12E-44	8542438	8458151	11619064	8955433	9075748	9511581	9163482	9495599	8781314	8591806	8435919	9801351	9492847	8691776	9924679	10324390	9691055	9826252
O43847	NRDC	Nardilysin	3.32E-43	8191226	7547047	6421591.5	8490010	8199097	7192913.5	7940179	8565236	8576433	7746274.5	8490370	8969585	8133523	8992523	8829833	7840454.5	8589525	9475883
O43852	CALU	Calumenin	7.21E-39	32316742	29860698	22901488	25966664	26312946	30731528	26897766	22024930	24065936	24393938	24995764	25683254	26127206	29700762	23980660	23370338	24244238	29998894
O43865	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	5.57E-45	6127009	6986465.5	7380776	7055310	6587559.5	6060174	7509448.5	7005785	7032079.5	6565513.5	6666048.5	7170946.5	7015116.5	6742039.5	6806038	7312043	7447877.5	7064401
O43896	KIF1C	Kinesin-like protein KIF1C	1.08E-54	14548532	13783555	16787556	14055253	14750515	16038851	15057250	14578084	15146952	14481109	13264844	15427739	15017788	15298645	13354288	14851788	14650431	14939218
O43900	PRICKLE3	Prickle planar cell polarity protein 3	2.14E-27	480760.4688	356842.3438	316575.9375	440077.4375	358784.7188	441560.7813	320456.4375	339326.75	321225.2813	353589.2813	400548.7188	421099.3438	398470.6875	552525.6875	362683.625	327876	272077.5938	315978.5938
O43909	EXTL3	Exostosin-like 3	2.15E-07	2477163.25	2160965.5	4813957.5	3424900.25	1703717	732985.4375	3786179.75	3362475.5	3424714.75	3264736.5	2317788.75	2171336.75	1403623	3082303.5	2404754.75	1593183.625	1788960	1524061.25
O43913	ORC5	Origin recognition complex subunit 5	2.56E-36	873609.3125	948274.25	887702.1875	977901.25	988144.875	851818.0625	971482	1013791	1051664.375	997091.4375	796071.9375	913776.3125	922165.625	1014296.938	1012417.688	991735.6875	1026488.125	1037754.563
O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	3.85E-35	3387203.5	3646714.75	3670368	3743938.25	4086277.75	2994028.5	4037454.5	3520511	3063002.5	4304072.5	2872892	2724892.5	2879941.25	2554159	3469853	2412633.25	3229609	1997097.5
O43924	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	5.18E-31	1999041.625	1011214.438	1094525.5	989004.5625	1160104.375	761000.8125	1036223.75	874821.5	805770.625	1290537.125	1666827.125	1543206.875	854923.3125	1093678.125	310267.375	1346912.125	977744.3125	970101.375
O43929	ORC4	Origin recognition complex subunit 4	1.04E-38	614364.8125	764989.25	689719.0625	779715.9375	725613.75	709496.5625	608204.0625	605801.5625	670361.75	817889.625	703946.0625	613176.4375	659023.9375	846391.625	645183.375	643373	643629.125	625226.75
O43930	PRKY	Putative serine/threonine-protein kinase PRKY	8.64E-12	1492385.25	NaN	NaN	NaN	2366079.25	2771194.25	NaN	1913327	NaN	1997023.625	NaN	NaN	2124794	NaN	1334210.25	1913555.625	NaN	NaN
O43933	PEX1	Peroxisome biogenesis factor 1	1.75E-44	895127	1027352.188	1236371.25	937903.0625	1231842.25	1056627.25	1367878	1185536.5	927888.625	941624.1875	740759.3125	1041513.063	1016652.688	755068.0625	1069988.5	1168930.5	1090672.125	861482.625
O60216	RAD21	Double-strand-break repair protein rad21 homolog	1.36E-31	5303817.5	5348546	5144052	4253748.5	4664225	4561983	4867704.5	4566338	4735865.5	4590901.5	4088591.75	4190139.75	4567519	4966661	4551408.5	4642510.5	4070384.25	4912329
O60220	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	5.47E-19	4768451	4909311.5	4711500.5	4006101	4045534	5356669.5	4356940.5	4865956.5	4846896.5	4368960.5	4417878	4568709	3866597.5	4148585.75	4443028	4280248.5	4364703.5	3761323.25
O60229	KALRN	Kalirin	5.64E-05	263.1299438	NaN	216.4477997	NaN	NaN	NaN	NaN	7508.406738	12.68869114	NaN	216.0486755	NaN	NaN	6.118405342	3.886280775	24.84814453	NaN	17.46848869
O60231	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	2.85E-49	9310665	10058742	9590545	8579833	9666507	8832947	9984176	9693944	9810250	9310017	7931335.5	9216238	8819270	8894222	8846945	8722009	8424501	8534424
O60232	ZNRD2	Protein ZNRD2	2.03E-43	11877951	14526698	12599814	11066974	13291608	12974554	14202115	12951497	11931984	11824921	12796069	9765234	10388288	10371264	12454978	11207067	10680805	8928611
O60238	BNIP3L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	6.27E-27	1638891.75	632454.3125	NaN	2236218.75	3045967.5	NaN	4785769.5	2087552.375	5814142	1341545	3389357.25	789199.8125	2264540	616769.8125	837949.375	2196973.25	1634624.25	410101.0313
O60239	SH3BP5	SH3 domain-binding protein 5	1.61E-31	913723.0625	1001737.313	1138015.5	1000588.813	1129304.875	973085.25	1349113.75	1062306.75	1017686.5	942630.875	865264.0625	849202.375	980270.625	624795.125	556455.5625	932338.25	987331.9375	780266.1875
O60244	MED14	Mediator of RNA polymerase II transcription subunit 14	2.09E-34	3015450.75	2446101	2666008.75	2614067.75	2302062.5	2495460.25	2200140.25	2742065	3109194.75	2693515.75	2892869	2827442.5	3009251	3062382.25	3030668.25	2923859.25	3023462.25	2921101.75
O60256	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	2.47E-46	3685482.75	4680482	3598628	3671729.5	4206967	3533400.5	3997087.75	4016475.75	3941875.75	3691348.75	3609808.75	3463226	3461966.25	4010927	3601975.75	4121192.75	3579231	3990927.75
O60264	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	1.03E-48	9263266	10551318	9821776	9564761	9380261	9560197	10094640	9583005	10343772	10262240	8917171	9708207	10226403	10535750	11347919	10430250	9989383	10491686
O60266	ADCY3	Adenylate cyclase type 3	3.25E-23	2148631.25	3995122.5	2027065.125	2638309	1024827.25	2183881	2498502.25	3465987.25	1396971.625	2556299	1865908.25	1938844.75	2535223.25	1880574.125	2738646.5	1732817.5	2053383.5	2410292
O60268	KIAA0513	Uncharacterized protein KIAA0513	1.66E-15	NaN	160416.5938	NaN	NaN	148310.5	NaN	NaN	NaN	NaN	440454.625	NaN	150553.9063	107737.4219	103232.0547	NaN	84988.94531	78978.03125	85163.99219
O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	1.13E-41	11288582	11816716	11047709	11423291	11972075	11925178	11577536	10682089	12243887	11176944	11175565	12230493	10831884	10988456	10503703	11425113	11722940	11245445
O60287	URB1	Nucleolar pre-ribosomal-associated protein 1	1.45E-49	6347438.5	5779373.5	7377492	7312544	6981440.5	6266606.5	7313644.5	8218037.5	7322608	6789792.5	5867143	6647014	6658558	6854470.5	6087115	6233409	7167591	6724533
O60291	MGRN1	E3 ubiquitin-protein ligase MGRN1	1.97E-28	1445549.625	2056357.375	1597647.625	1491847.375	1919071.5	2226317.25	1888337.75	1525634.5	1163580.375	1782787.75	1617592.5	1524662.75	1820185.625	1451381.5	1561581.5	1524939.125	1424354.375	1425209.5
O60292	SIPA1L3	Signal-induced proliferation-associated 1-like protein 3	4.48E-41	1494580.125	1215911.125	1369054.5	1308901.625	1122444.25	1092750.625	955972.875	1422814.25	1237773.375	1066447.875	1213604	1091473	1168680.375	1300354.75	1320386.875	1154610.875	935118.0625	1292291.125
O60293	ZFC3H1	Zinc finger C3H1 domain-containing protein	1.56E-31	7534524.5	7954626.5	8108378.5	8178504	7246877.5	6704364.5	7637329	8013612.5	7619341	7866417.5	7201161.5	7909666	7075775.5	8520398	7997568.5	7740618.5	6787655	7745477.5
O60294	LCMT2	tRNA wybutosine-synthesizing protein 4	1.21E-44	11091194	12601297	15336494	10958646	9754188	11246997	11806202	12823872	10935823	12224920	9910588	10217086	11783778	10565932	12247470	11018199	12371637	10171157
O60306	AQR	RNA helicase aquarius	1.02E-55	4043376.5	4470745.5	4272587	4666081.5	4606766.5	4232446	4504465.5	4568979.5	5003833	4897699.5	4598869	4702857.5	4961132	5416047	4703215	4701138.5	4201335	5111592
O60307	MAST3	Microtubule-associated serine/threonine-protein kinase 3	1.35E-20	5221071	4758994	1556207	2418607.5	2206825	NaN	1520302.5	1888495.25	3861085.75	1615197.5	4012827.25	2738019	2693990.5	2074247.375	2821565.25	2932161.75	2102053.25	2456475
O60308	CEP104	Centrosomal protein of 104 kDa	3.78E-13	486417.5313	2168467.25	1054408.125	699054.9375	1628667.625	86600.35156	559358.5	1040268.188	450055.0625	399542.7813	729967.5625	105617.1641	247333.3125	475502.5	426464.9375	350179.5	319444.1875	409175.0938
O60313	OPA1	Dynamin-like 120 kDa protein, mitochondrial	1.40E-45	5886555.5	6037577.5	5629542.5	5327560	6042420.5	6202124.5	6054193.5	5842553.5	5721730	6009025	5767145	5444053	5641410.5	5005392	5392723	5310073.5	5744320	5419808.5
O60315	ZEB2	Zinc finger E-box-binding homeobox 2	0.000898745	NaN	3090694	4076476	NaN	3316923.25	3928837.25	NaN	NaN	3985586.25	NaN	NaN	4440677	4137913.5	NaN	NaN	1998073.625	3861387	3489056
O60318	MCM3AP	Germinal-center associated nuclear protein	1.48E-41	4030278.75	3761609.75	4123115.5	4158394	3871101	4407725	4679066	4492954.5	4442413.5	4157556.25	4233419	3535218.5	3850291.25	4891594.5	3441269.5	4509487.5	3605723.75	4137793.5
O60331	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	3.41E-43	306880.3125	741543.3125	578563.75	380203.125	541787.5625	499870.875	367581.4063	502270.7188	544836.5	290287.25	502475.7813	516038.3125	428566.7188	478570.9063	412931.9375	526624.625	508525.6875	394440.875
O60333	KIF1B	Kinesin-like protein KIF1B	6.38E-35	2710564	2649561.5	2492128	2438474.75	2768253	2256018.5	2965236.25	2681613.5	2847753.5	2896658.75	2797738.25	2818640.25	2510151.5	2626810.25	2823106	2745820	2852990	2489566.25
O60337	MARCHF6	E3 ubiquitin-protein ligase MARCHF6	4.78E-21	592316.125	1053039.625	1111539.5	533389.875	822562.5	686721.25	669167.3125	739560.5	986662.25	826186.875	625907.3125	744551.375	740011.375	819857.0625	940315.8125	702140.625	782432.5	792255.625
O60341	KDM1A	Lysine-specific histone demethylase 1A	2.56E-47	3046815.75	2919762.75	2810281	2998512.5	3126778.75	2814133.5	3081422.25	3311604.75	3240232	3116228.25	3012399.25	2886116.25	2912694.5	3181995.75	3071711	3307797.75	3129601.25	2936175
O60343	TBC1D4	TBC1 domain family member 4	5.12E-42	3046896.5	3258617.75	3355188.25	3145716.25	2842878.75	2755628.25	2781012	2959727	3421732.5	3210616.75	2843133.75	2879471	2798776.75	3114483	2756185.5	2838526.25	3195262.75	3047776
O60346	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1	5.11E-24	1874753.125	1206860.625	1784306.125	3109322.25	2171706.75	1626485.375	1904135.25	1990377.125	2056674.5	1387496.375	1935291.125	1342901.75	1422041.75	1839819.5	1510098.625	1593318.25	1563386.5	2007099.375
O60347	TBC1D12	TBC1 domain family member 12	0.002532478	NaN	1.123629332	NaN	NaN	NaN	NaN	NaN	NaN	47589.88672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O60353	FZD6	Frizzled-6	6.98E-36	1418054.25	1506651.125	1284108	1798225	1123828.75	1699839.25	1956321.25	1602340.625	1646100.375	1806426.375	1556698.625	1743487	1764497.375	1365394	1262677.25	2122197.75	1816836.875	1353178.375
O60356	NUPR1	Nuclear protein 1	1.50E-27	NaN	86164.00781	146253.7969	62065.51563	104496.9688	193563.3906	NaN	176150.9063	123565.6094	156053.375	296297.75	197577.1563	95326.35938	109473.6094	44181.17969	94394.95313	166406.6406	263847.2188
O60383	GDF9	Growth/differentiation factor 9	5.41E-11	211002.2969	177249.8906	NaN	NaN	NaN	215887.9688	160626.7969	185693.9219	NaN	204676.5	206111.4063	210165.8281	204462.4375	184303	188620.1875	180814.25	234262.3281	NaN
O60427	FADS1	Acyl-CoA (8-3)-desaturase	2.09E-35	6009360.5	5979983	5332798.5	6565376.5	6251072	6192541.5	7046391	6370819.5	7129774	6255521.5	6307658.5	6426712	6040191	6234774	6800276.5	6343928.5	6403892	6552024
O60437	PPL	Periplakin	1.79E-45	17056376	17474456	17646180	17416944	18239022	18747616	19835104	17659354	17713570	18360504	18215036	16874904	16515514	17199666	16005336	18662280	18668806	19215408
O60443	GSDME	Gasdermin-E	2.11E-40	16109721	13716911	21222160	19010204	19929638	17936324	19160822	19838664	20329366	20319912	20716934	22374264	21846052	23844414	22488708	24630774	23150954	26451868
O60447	EVI5	Ecotropic viral integration site 5 protein homolog	1.95E-28	1171406.125	1706065.625	1479404.75	1544063.375	1112325.5	1127067.5	1942793.5	1820633.125	1926015.75	1625387.625	1553609.125	1118599.875	1025463.125	1210647.25	1391196	1205687.375	1298409.375	1191057.25
O60476	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	1.36E-46	491086.9063	407291.4375	461724.3438	641142.25	516393.7188	387344.7188	543279.8125	536268	463175.9688	430552.5	569393.5	526223.5	639739.875	520008.4063	569706.8125	588475.6875	561539.125	510325.125
O60477	BRINP1	BMP/retinoic acid-inducible neural-specific protein 1	0.000830368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2122666.5	2625090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O60488	ACSL4	Long-chain-fatty-acid--CoA ligase 4	6.35E-43	21040052	24866678	24316156	25865192	25532338	23558218	24695492	26896362	23151020	25067636	25168538	22314100	24320344	26752418	24036972	23107206	23930756	23848414
O60493	SNX3	Sorting nexin-3	2.63E-33	11103103	10573411	9796664	10068857	10323060	11312119	11563615	10477859	10210737	10026395	11268788	10780009	9340833	10152189	10417345	9942669	11281726	10214653
O60499	STX10	Syntaxin-10	1.72E-35	13191770	14733550	13603488	14862996	11375737	10022629	18076642	11299561	15558095	13946415	15083217	11788376	14905310	11838665	11697533	10557741	13274730	12142595
O60502	OGA	Protein O-GlcNAcase	1.35E-39	6370672.5	5980347.5	5847123	6356123.5	6460004	5368438	5711561.5	6507032.5	5958819	6001174	5429099	6058493.5	6229437	6030054.5	5975045.5	6713381	6093949	6568961
O60503	ADCY9	Adenylate cyclase type 9	2.69E-26	378792.5938	517326.8438	503067.9063	457460.375	377274.2188	591997.4375	400243.4063	506889.25	411147.3125	289566.7813	363722.0313	352650.0625	361031.375	378569.3438	494761.6563	363815.2813	400381.6875	441741.5313
O60504	SORBS3	Vinexin	2.24E-53	3596293.75	3696249.75	2875721	3829082.25	4005143.5	3576931.75	3776258.75	3309569.5	3187583.5	2810999	3434795.75	3024692	3543732.75	3370797.75	3666228.25	3809718.25	3810900.5	3491881
O60506	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	3.75E-51	21882212	23396472	21047624	21229856	20517012	21991512	22109120	20076474	20061746	19664152	20270126	20073964	18142872	19001554	19192764	17672680	18072086	17266728
O60507	TPST1	Protein-tyrosine sulfotransferase 1	1.76E-33	10773772	9097981	10525620	5890646	4864103.5	6171350.5	6048811.5	4930080.5	4138706.25	6176924.5	6603242.5	5488042	4698171	6267644.5	6248237	5950808.5	2820168.25	4926078.5
O60508	CDC40	Pre-mRNA-processing factor 17	7.29E-46	3407021	3310279.25	3370516	3369202.5	3313642.25	3176503.75	3628142.75	3117362	3140965.5	3483806.25	3026196.25	3492061.5	3388047.75	3238004.75	3594983.5	3750688	3027219	4002992.25
O60512	B4GALT3	Beta-1,4-galactosyltransferase 3	9.21E-41	413581.4688	1283666.5	1689858	515104.2813	1085852.875	1743202.125	1322507.5	678491.3125	1010006.875	517461.0625	620654.75	517371.5938	367214.4063	628025.8125	565506.625	930700	850535.1875	630583.1875
O60513	B4GALT4	Beta-1,4-galactosyltransferase 4	2.05E-35	406500.25	232630.8906	240842.3594	387553.375	253600.5	389374.4063	322623.8125	410414.0625	349884.25	321162.0625	221053.5938	311370.875	316396.0938	335756.5	234317.1563	304480.4063	276395.7188	267628.5938
O60518	RANBP6	Ran-binding protein 6	9.07E-38	11340417	9873939	10858428	11239836	10229674	10687814	12701354	11862651	11163115	10331392	9942361	9671631	9921015	8947284	8488777	10700495	11674856	10879901
O60524	NEMF	Ribosome quality control complex subunit NEMF	9.17E-40	4078704.5	4887620.5	5336991.5	4742204	4043561	4861222	5400315	4541747	4708543	4411450.5	4432864	4606160	4114030.25	4693153.5	4368957	4723809	5152582.5	5764362.5
O60547	GMDS	GDP-mannose 4,6 dehydratase	1.04E-43	14344406	13064648	13465152	14345632	12716975	12115230	13565442	14473339	14261540	13651738	14109865	13523732	13753235	12503739	13564143	11771989	12391163	13071355
O60551	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	1.96E-24	1525705	790559.0625	795515.75	1172849.375	1961483.625	709185.4375	1590103.125	20950.38867	437660.6563	655671.8125	536821.1875	788049.625	899084.375	NaN	727674.1875	625068.8125	1110723.875	770681.875
O60563	CCNT1	Cyclin-T1	7.32E-46	5889701	6473971	5849917	5725528.5	6019011	5286587	6122443.5	5429483	6068568	5419925	5701093	5588167.5	6130054.5	5857431	5654919.5	6805791	6023625.5	5896630
O60566	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	2.01E-49	9401932	9222103	10878983	11260424	10195845	9865210	11888792	11030548	11072396	10966916	10698092	10198859	11458224	12251496	11030230	11916627	11165104	12338871
O60568	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	1.76E-40	6975129.5	7183623.5	8150385.5	7816472.5	7997345	7290059	7932523	8147062.5	8040346	8684709	8801133	8552578	8476082	8673120	8073841	8535025	8176994	8493716
O60573	EIF4E2	Eukaryotic translation initiation factor 4E type 2	2.69E-37	707351.875	1076394.5	1409393.625	1247465.875	1181955.625	1145053.375	1092969.25	1185469.875	1345473.75	1117866.875	1119364.625	1347091.125	1484813.5	1252709	1129069.125	1224966.75	1286109.25	1315280.75
O60583	CCNT2	Cyclin-T2	1.39E-30	127944.7969	373798.9375	172097.8438	142860.5156	246122.0156	226664.8594	202735.5	165598.0156	270083.7813	298457.9375	120508.7969	229560.25	119198.5078	249720.9063	183877.5625	144224	143250.4531	178978.6875
O60610	DIAPH1	Protein diaphanous homolog 1	1.72E-51	23098324	24031596	25416156	25469922	24910762	21553030	23544816	24532014	25454240	24321236	24723418	26215238	25303668	27903522	24656480	24950056	25487502	28585248
O60613	SELENOF	Selenoprotein F	1.05E-37	2771437	2551776	3044741	2576524.25	2837539.25	3509356.5	2285376.25	2669521	2620281	2809745.5	2620914	2645956.75	2370938	2344962.5	2614184.75	2341066.25	2582388.75	2483613.25
O60641	SNAP91	Clathrin coat assembly protein AP180	0.003944179	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3597860.25	NaN	NaN	NaN
O60645	EXOC3	Exocyst complex component 3	1.71E-40	10202000	9441921	9245135	9847478	8622479	9326858	8780054	9252466	9347761	9656880	10688770	10652837	8975653	8834615	9438035	8938184	10770426	10627588
O60658	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A	1.46E-34	355229.5313	657813.1875	448658.75	381667.2188	543321.125	410065.8438	504724.4063	680314.625	357331.9063	506305.1875	198437.3906	361366.6875	266082.4375	511959.9688	310909.5625	378951.875	357447.9375	344743.9688
O60664	PLIN3	Perilipin-3	1.51E-48	16975772	15620052	23666594	20093662	19899328	20171824	19074022	21274148	20142858	19127414	19311192	19717930	18159614	18412464	18420116	16449446	18089614	16750876
